Server_Name	timestamp.1	CPU.utilization
NYPIBV6T032	10/27/2015 7:00	3.710267
NYPIBV6T032	10/27/2015 7:01	41.063123
NYPIBV6T032	10/27/2015 7:02	74.472551
NYPIBV6T032	10/27/2015 7:03	12.294267
NYPIBV6T032	10/27/2015 7:04	26.599513
NYPIBV6T032	10/27/2015 7:05	27.51938
NYPIBV6T032	10/27/2015 7:06	18.737542
NYPIBV6T032	10/27/2015 7:07	7.373782
NYPIBV6T032	10/27/2015 7:08	6.778159
NYPIBV6T032	10/27/2015 7:09	5.337172
NYPIBV6T032	10/27/2015 7:10	8.239203
NYPIBV6T032	10/27/2015 7:11	13.023256
NYPIBV6T032	10/27/2015 7:12	5.618226
NYPIBV6T032	10/27/2015 7:13	12.494467
NYPIBV6T032	10/27/2015 7:14	19.604595
NYPIBV6T032	10/27/2015 7:15	11.317418
NYPIBV6T032	10/27/2015 7:16	16.854803
NYPIBV6T032	10/27/2015 7:17	10.04647
NYPIBV6T032	10/27/2015 7:18	10.367338
NYPIBV6T032	10/27/2015 7:19	4.96124
NYPIBV6T032	10/27/2015 7:20	6.698406
NYPIBV6T032	10/27/2015 7:21	5.059227
NYPIBV6T032	10/27/2015 7:22	5.38206
NYPIBV6T032	10/27/2015 7:23	5.276549
NYPIBV6T032	10/27/2015 7:24	3.665559
NYPIBV6T032	10/27/2015 7:25	6.888151
NYPIBV6T032	10/27/2015 7:26	2.935963
NYPIBV6T032	10/27/2015 7:27	4.228938
NYPIBV6T032	10/27/2015 7:28	5.361099
NYPIBV6T032	10/27/2015 7:29	4.584718
NYPIBV6T032	10/27/2015 7:30	7.92582
NYPIBV6T032	10/27/2015 7:31	26.705049
NYPIBV6T032	10/27/2015 7:32	10.216958
NYPIBV6T032	10/27/2015 7:33	43.56304
NYPIBV6T032	10/27/2015 7:34	4.749779
NYPIBV6T032	10/27/2015 7:35	3.335919
NYPIBV6T032	10/27/2015 7:36	26.155381
NYPIBV6T032	10/27/2015 7:37	4.717608
NYPIBV6T032	10/27/2015 7:38	8.320408
NYPIBV6T032	10/27/2015 7:39	9.583426
NYPIBV6T032	10/27/2015 7:40	7.491424
NYPIBV6T032	10/27/2015 7:41	3.466608
NYPIBV6T032	10/27/2015 7:42	2.448753
NYPIBV6T032	10/27/2015 7:43	2.970517
NYPIBV6T032	10/27/2015 7:44	2.813469
NYPIBV6T032	10/27/2015 7:45	2.746705
NYPIBV6T032	10/27/2015 7:46	7.036011
NYPIBV6T032	10/27/2015 7:47	7.463182
NYPIBV6T032	10/27/2015 7:48	4.917488
NYPIBV6T032	10/27/2015 7:49	6.304011
NYPIBV6T032	10/27/2015 7:50	4.462407
NYPIBV6T032	10/27/2015 7:51	8.652781
NYPIBV6T032	10/27/2015 7:52	12.846069
NYPIBV6T032	10/27/2015 7:53	9.456317
NYPIBV6T032	10/27/2015 7:54	9.15228
NYPIBV6T032	10/27/2015 7:55	7.287629
NYPIBV6T032	10/27/2015 7:56	7.478396
NYPIBV6T032	10/27/2015 7:57	7.588346
NYPIBV6T032	10/27/2015 7:58	6.504155
NYPIBV6T032	10/27/2015 7:59	17.952407
NYPIBV6T032	10/27/2015 8:00	46.736004
NYPIBV6T032	10/27/2015 8:01	33.23741
NYPIBV6T032	10/27/2015 8:02	32.155907
NYPIBV6T032	10/27/2015 8:03	11.193452
NYPIBV6T032	10/27/2015 8:04	9.893758
NYPIBV6T032	10/27/2015 8:05	7.198228
NYPIBV6T032	10/27/2015 8:06	7.419712
NYPIBV6T032	10/27/2015 8:07	8.167331
NYPIBV6T032	10/27/2015 8:08	17.89672
NYPIBV6T032	10/27/2015 8:09	3.146117
NYPIBV6T032	10/27/2015 8:10	5.085873
NYPIBV6T032	10/27/2015 8:11	4.875346
NYPIBV6T032	10/27/2015 8:12	2.44794
NYPIBV6T032	10/27/2015 8:13	2.934987
NYPIBV6T032	10/27/2015 8:14	2.512452
NYPIBV6T032	10/27/2015 8:15	5.861496
NYPIBV6T032	10/27/2015 8:16	23.772581
NYPIBV6T032	10/27/2015 8:17	65.274238
NYPIBV6T032	10/27/2015 8:18	6.334441
NYPIBV6T032	10/27/2015 8:19	2.346431
NYPIBV6T032	10/27/2015 8:20	2.093255
NYPIBV6T032	10/27/2015 8:21	1.683092
NYPIBV6T032	10/27/2015 8:22	4.153284
NYPIBV6T032	10/27/2015 8:23	4.04912
NYPIBV6T032	10/27/2015 8:24	2.524358
NYPIBV6T032	10/27/2015 8:25	3.156146
NYPIBV6T032	10/27/2015 8:26	3.718871
NYPIBV6T032	10/27/2015 8:27	50.847458
